Player_Name,Role,Country,Status,Team,Base_Price,Final_Price
Arjun Tendulkar,All Rounder,India,SOLD,MI,20,20
Akash Singh,Bowler,India,SOLD,RR,20,20
Pawan Negi,All Rounder,India,SOLD,KKR,50,50
Venkatesh Iyer,Bowler,India,SOLD,KKR,20,20
Ben Cutting,All Rounder,Australia,SOLD,KKR,75,75
Hari Nishanth,Batsman,India,SOLD,CSK,20,20
Harbhajan Singh,Bowler,India,SOLD,KKR,200,200
Mujeeb Ur Rahman,Bowler,Afghanistan,SOLD,SRH,100,100
Sam Billings,Batsman / Wicket-keeper,England,SOLD,DC,200,200
Kedar Jadhav,Batting Allrounder,India,SOLD,SRH,200,200
Karun Nair,Batsman,India,SOLD,KKR,50,50
Saurabh Kumar,All Rounder,India,SOLD,PBKS,20,20
Marco Jansen,All Rounder,South Africa,SOLD,MI,20,20
Bhagath Verma,All Rounder,India,SOLD,CSK,20,20
Yudhvir Singh,Bowler,India,SOLD,MI,20,20
James Neesham,Batting Allrounder,New Zealand,SOLD,MI,50,50
Kuldip Yadav,Bowler,India,SOLD,RR,20,20
Harishankar Reddy,Bowler,India,SOLD,CSK,20,20
Srikar Bharat,Batsman / Wicket-keeper,India,SOLD,RCB,20,20
Suyash Prabhudessai,Batsman,India,SOLD,RCB,20,20
Liam Livingstone,Batsman,England,SOLD,RR,75,75
Daniel Christian,All Rounder,Australia,SOLD,RCB,75,400
Fabian Allen,Batting Allrounder,West Indies,SOLD,PBKS,75,75
Vaibhav Arora,Bowler,India,SOLD,KKR,20,20
Utkarsh Singh,Bowler,India,SOLD,PBKS,20,20
Jalaj Saxena,Batting Allrounder,India,SOLD,PBKS,30,30
Moises Henriques,Batting Allrounder,Australia,SOLD,PBKS,100,400
Tom Curran,All Rounder,England,SOLD,DC,100,500
Kyle Jamieson,Bowler,New Zealand,SOLD,RCB,75,1500
Cheteshwar Pujara,Batsman,India,SOLD,CSK,50,50
KC Cariappa,Bowler,India,SOLD,RR,20,20
Lukman Meriwala,Bowler,India,SOLD,DC,20,20
Jagadeesha Suchith,Bowler,India,SOLD,SRH,20,30
Manimaran Siddharth,Bowler,India,SOLD,DC,20,20
Riley Meredith,Bowler,Australia,SOLD,PBKS,40,800
Chetan Sakariya,Bowler,India,SOLD,RR,20,100
Mohammed Azharuddeen,Batsman / Wicket-keeper,India,SOLD,RCB,20,20
Sheldon Jackson,Batsman / Wicket-keeper,India,SOLD,KKR,20,20
Vishnu Vinod,Batsman / Wicket-keeper,India,SOLD,DC,20,20
Krishnappa Gowtham,All Rounder,India,SOLD,CSK,20,900
Shahrukh Khan,All Rounder,India,SOLD,PBKS,20,500
Ripal Patel,Bowler,India,SOLD,DC,20,20
Rajat Patidar,Batsman,India,SOLD,RCB,20,20
Sachin Baby,Batsman,India,SOLD,RCB,20,20
Mustafizur Rahman,Bowler,Bangladesh,SOLD,RR,100,100
Piyush Chawla,All Rounder,India,SOLD,MI,50,200
Jhye Richardson,All Rounder,Australia,SOLD,PBKS,100,1400
Umesh Yadav,Bowler,India,SOLD,DC,100,100
Nathan Coulter-Nile,Bowler,Australia,SOLD,MI,100,500
Adam Milne,Bowler,New Zealand,SOLD,MI,50,300
Dawid Malan,Batsman,England,SOLD,PBKS,100,100
Chris Morris,All Rounder,South Africa,SOLD,RR,75,1600
Shivam Dube,All Rounder,India,SOLD,RR,50,400
Moeen Ali,Batting Allrounder,England,SOLD,CSK,200,700
Shakib Al Hasan,Batting Allrounder,Bangladesh,SOLD,KKR,200,300
Glenn Maxwell,Batting Allrounder,Australia,SOLD,RCB,200,1400
Steven Smith,Batsman,Australia,SOLD,DC,200,200
