Player_Name,Role,Country,Status,Base_Price
Hanuma Vihari,Batting Allrounder,India,UNSOLD,100
Jason Behrendorff,Bowler,Australia,UNSOLD,100
Gurkeerat Singh Mann,Batsman,India,UNSOLD,50
Rassie van der Dussen,Batsman,South Africa,UNSOLD,50
Corey Anderson,Batting Allrounder,New Zealand,UNSOLD,75
Vishnu Solanki,Batsman / Wicket-keeper,India,UNSOLD,20
Pratyush Singh,Bowler,India,UNSOLD,20
Tim David,Batsman,Singapore,UNSOLD,20
Gerald Coetzee,Bowler,South Africa,UNSOLD,20
Harsh Tyagi,Batting Allrounder,India,UNSOLD,20
Jack Wildermuth,All Rounder,Australia,UNSOLD,50
Ajay Dev Goud,Bowler,India,UNSOLD,20
Chaitanya Bishnoi,Batting Allrounder,India,UNSOLD,20
George Linde,Batting Allrounder,South Africa,UNSOLD,50
Isuru Udana,All Rounder,Sri Lanka,UNSOLD,50
Chris Green,All Rounder,Australia,UNSOLD,30
Reece Topley,Bowler,England,UNSOLD,50
Wayne Parnell,All Rounder,South Africa,UNSOLD,50
Scott Kuggeleijn,Batting Allrounder,New Zealand,UNSOLD,50
Simarjeet Singh,Bowler,India,UNSOLD,20
Josh Inglis,Batsman / Wicket-keeper,Australia,UNSOLD,20
Prerak Mankad,Batsman,India,UNSOLD,20
Tajinder Singh,Batting Allrounder,India,UNSOLD,20
Siddhesh Lad,Batsman,India,UNSOLD,20
Sean Abbott,Bowler,Australia,UNSOLD,50
Matthew Wade,Batsman / Wicket-keeper,Australia,UNSOLD,100
Ben McDermott,Batsman / Wicket-keeper,Australia,UNSOLD,50
Thisara Perera,All Rounder,Sri Lanka,UNSOLD,50
G Periyaswamy,Bowler,India,UNSOLD,20
Ben Dwarshuis,Bowler,Australia,UNSOLD,30
KL Shrijith,Batsman / Wicket-keeper,India,UNSOLD,20
Karan Sharma,Batting Allrounder,India,UNSOLD,20
Naveen-ul-Haq,Bowler,Afghanistan,UNSOLD,50
Mitchell McClenaghan,Bowler,New Zealand,UNSOLD,50
Billy Stanlake,Bowler,Australia,UNSOLD,100
Mohit Sharma,Bowler,India,UNSOLD,50
Oshane Thomas,Bowler,West Indies,UNSOLD,50
Varun Aaron,Bowler,India,UNSOLD,50
Marnus Labuschagne,Batting Allrounder,Australia,UNSOLD,100
Martin Guptill,Batsman,New Zealand,UNSOLD,50
Darren Bravo,Batsman,West Indies,UNSOLD,75
Devon Conway,Batsman,New Zealand,UNSOLD,50
Shaun Marsh,Batsman,Australia,UNSOLD,100
Rovman Powell,Batsman,West Indies,UNSOLD,50
Tejas Baroka,Bowler,India,UNSOLD,20
Sudhesan Midhun,Bowler,India,UNSOLD,20
Sandeep Lamichhane,Bowler,Nepal,UNSOLD,40
Karanveer Singh,Bowler,India,UNSOLD,20
Tushar Deshpande,Bowler,India,UNSOLD,20
Kuldeep Sen,Bowler,India,UNSOLD,20
Ankit Rajpoot,Bowler,India,UNSOLD,30
Avi Barot,Batsman,India,UNSOLD,20
Kedar Devdhar,Batsman / Wicket-keeper,India,UNSOLD,20
Vivek Singh,Batsman,India,UNSOLD,20
Ayush Badoni,All Rounder,India,UNSOLD,20
Atit Sheth,Bowler,India,UNSOLD,20
Himmat Singh,Batsman,India,UNSOLD,20
Gahlaut Rahul Singh,Batsman,India,UNSOLD,20
Himanshu Rana,Batsman,India,UNSOLD,20
Qais Ahmad,Bowler,Afghanistan,UNSOLD,50
Ish Sodhi,Bowler,New Zealand,UNSOLD,50
Rahul Sharma,Bowler,India,UNSOLD,50
Adil Rashid,Bowler,England,UNSOLD,100
Sheldon Cottrell,Bowler,West Indies,UNSOLD,100
Kusal Perera,Batsman / Wicket-keeper,Sri Lanka,UNSOLD,50
Alex Carey,Batsman / Wicket-keeper,Australia,UNSOLD,100
Glenn Phillips,Batsman / Wicket-keeper,New Zealand,UNSOLD,50
Aaron Finch,Batsman,Australia,UNSOLD,100
Evin Lewis,Batsman,West Indies,UNSOLD,100
Jason Roy,Batsman,England,UNSOLD,200
Alex Hales,Batsman,England,UNSOLD,100
