Player_Name,Country,Playing_Role,Status,Franchise,Salary
Kedar Jadhav,India,All Rounder,Released,CSK,780
Piyush Chawla,India,Bowler,Released,CSK,675
Shane Watson,Australia,Batsman,Released,CSK,400
Murali Vijay,India,Batsman,Released,CSK,200
Harbhajan Singh,India,Bowler,Released,CSK,200
Monu Kumar Singh,India,Bowler,Released,CSK,20
Alex Carey,Australia,Batsman,Released,DC,240
Jason Roy,England,Batsman,Released,DC,150
Mohit Sharma,India,Bowler,Released,DC,50
Keemo Paul,Guyana,All Rounder,Released,DC,50
Sandeep Lamichhane,Nepal,Bowler,Released,DC,20
Tushar Deshpande,India,Bowler,Released,DC,20
Tom Banton,England,Batsman / Wicket-keeper,Released,KKR,100
Harry Gurney,England,Bowler,Released,KKR,75
Chris Green,Australia,All Rounder,Released,KKR,20
Siddhesh Lad,India,Batsman,Released,KKR,20
Nikhil Naik,India,Batsman / Wicket-keeper,Released,KKR,20
M Siddharth,India,Bowler,Released,KKR,20
Nathan Coulter-Nile,Australia,Bowler,Released,MI,800
Lasith Malinga,Sri Lanka,Bowler,Released,MI,200
Sherfane Rutherford,Guyana,Batsman,Released,MI,200
Mitchell McClenaghan,New Zealand,Bowler,Released,MI,100
Prince Balwant Rai,India,All Rounder,Released,MI,20
Digvijay Deshmukh,India,Bowler,Released,MI,20
James Pattinson,Australia,Bowler,Released,Mi,100
Glenn Maxwell,Australia,All Rounder,Released,PBKS,1075
Sheldon Cottrell,Jamaica,Bowler,Released,PBKS,850
Krishnappa Gowtham,India,All Rounder,Released,PBKS,620
Karun Nair,India,Bowler,Released,PBKS,560
Mujeeb Ur Rahman,Afghanistan,Bowler,Released,PBKS,400
James Neesham,New Zealand,All Rounder,Released,PBKS,50
Hardus Viljoen,South Africa,Bowler,Released,PBKS,75
J Suchith,India,All Rounder,Released,PBKS,20
Tajinder Singh,India,All Rounder,Released,PBKS,20
Steve Smith,Australia,Batsman,Released,RR,1250
Ankit Rajpoot,India,Bowler,Released,RR,300
Varun Aaron,India,Bowler,Released,RR,240
Tom Curran,England,All Rounder,Released,RR,100
Oshane Thomas,Jamaica,Bowler,Released,RR,50
Shashank Singh,India,Batsman,Released,RR,30
Akash Singh,India,Bowler,Released,RR,20
Aniruddha Joshi,India,All Rounder,Released,RR,20
Chris Morris,South Africa,Bowler,Released,RCB,1000
Shivam Dube,India,All Rounder,Released,RCB,500
Aaron Finch,Australia,Batsman,Released,RCB,440
Umesh Yadav,India,Bowler,Released,RCB,420
Dale Steyn,South Africa,Bowler,Released,RCB,200
Parthiv Patel,India,Batsman / Wicket-keeper,Released,RCB,170
Moeen Ali,England,All Rounder,Released,RCB,170
Pawan Negi,India,Bowler,Released,RCB,100
Gurkeerat Singh Mann,India,Batsman,Released,RCB,50
Isuru Udana,Sri Lanka,All Rounder,Released,RCB,50
Billy Stanlake,Australia,Bowler,Released,SRH,50
Fabian Allen,Jamaica,All Rounder,Released,SRH,50
Yarra Prithvi Raj,India,Bowler,Released,SRH,20
R Sanjay Yadav,India,All Rounder,Released,SRH,20
Bavanaka Sandeep,India,Batsman,Released,SRH,20
