Player_Name,Country,Playing_Role,Status,Franchise,Salary
MS Dhoni,India,Batsman / Wicket-keeper,Retained,CSK,1500
Suresh Raina,India,Batsman,Retained,CSK,1100
Ravindra Jadeja,India,All Rounder,Retained,CSK,700
Dwayne Bravo,Trinidad and Tobago,All Rounder,Retained,CSK,640
Sam Curran,England,All Rounder,Retained,CSK,550
Karn Sharma,India,All Rounder,Retained,CSK,500
Shardul Thakur,India,Bowler,Retained,CSK,260
Ambati Rayudu,India,Batsman,Retained,CSK,220
Josh Hazlewood,Australia,Bowler,Retained,CSK,200
Faf du Plessis,South Africa,Batsman,Retained,CSK,160
Imran Tahir,South Africa,Bowler,Retained,CSK,100
Deepak Chahar,India,Bowler,Retained,CSK,80
Lungisani Ngidi,South Africa,Bowler,Retained,CSK,50
Mitchell Santner,New Zealand,Bowler,Retained,CSK,50
KM Asif,India,Bowler,Retained,CSK,40
Jagadeesan Narayan,India,Batsman / Wicket-keeper,Retained,CSK,20
Ruturaj Gaikwad,India,Batsman,Retained,CSK,20
R Sai Kishore,India,Bowler,Retained,CSK,20
KL Rahul,India,Batsman / Wicket-keeper,Retained,PBKS,1100
Mohammed Shami,India,Bowler,Retained,PBKS,480
Nicholas Pooran,Trinidad and Tobago,Batsman,Retained,PBKS,420
Chris Jordan,England,Bowler,Retained,PBKS,300
Chris Gayle,Jamaica,Batsman,Retained,PBKS,200
Ravi Bishnoi,India,Bowler,Retained,PBKS,200
Mandeep Singh,India,All Rounder,Retained,PBKS,140
Mayank Agarwal,India,Batsman,Retained,PBKS,100
Prabhsimran Singh,India,Batsman / Wicket-keeper,Retained,PBKS,55
Deepak Hooda,India,All Rounder,Retained,PBKS,50
Darshan Nalkande,India,Bowler,Retained,PBKS,30
Sarfaraz Khan,India,Batsman,Retained,PBKS,25
Arshdeep Singh,India,Bowler,Retained,PBKS,20
Harpreet Brar,India,Bowler,Retained,PBKS,20
Murugan Ashwin,India,Bowler,Retained,PBKS,20
Ishan Porel,India,Bowler,Retained,PBKS,20
Rishabh Pant,India,Batsman / Wicket-keeper,Retained,DC,800
Shimron Hetmyer,Guyana,Batsman,Retained,DC,775
Ravichandran Ashwin,India,Bowler,Retained,DC,760
Shreyas Iyer,India,Batsman,Retained,DC,700
Ajinkya Rahane,India,Batsman,Retained,DC,525
Shikhar Dhawan,India,Batsman,Retained,DC,520
Axar Patel,India,All Rounder,Retained,DC,500
Marcus Stoinis,Australia,All Rounder,Retained,DC,480
Kagiso Rabada,South Africa,Bowler,Retained,DC,420
Amit Mishra,India,Bowler,Retained,DC,400
Chris Woakes,England,All Rounder,Retained,DC,150
